order_id,customer_id,product_id,distance,product_rating,date,review,time_taken,place_id,product,product_description,product_type,place_type,place_name,place_address,place_phone_no
2839,24,2349,15.11,5,4-7-22,1,25,63,Ata Lilo (Starter Sauce,"Ata lilo is a blended mix of bell peppers, habanero, tomatoes, chili pepper, onions, and vegetable oil. It is a base recipe for most stews and soups. You can always make it ahead to make other food preparation faster.",meal,restaurant,Rehoboth Delicious,"13, Deji Olamiji, Gbagada, Kosofe, Lagos, Nigeria","0809 156 0927, 0802 315 7707"
2840,702,2978,45.6,2,5-4-22,-1,53,39,Egg Roll,"Egg Roll is another sought-after snack in Nigeria, characterized by its cylindrical shape and delicious filling. A soft bread dough encases a boiled egg, often accompanied by a flavorful mix of onions, bell peppers, and spices. The Egg Roll’s combination of textures, with the fluffy exterior and the rich egg center, creates a truly satisfying snack experience",snacks,restaurant,Home Cooking Restaurant,"38A, Awolowo Road, Ikoyi, Lagos, Nigeria","01 473 5320, 01 262 2559"
2841,935,2861,3.19,2,16-6-22,-1,20,30,Pound Cake,"African pound cake is a good choice for you. In addition, this pound cake is chewy and requires pantry-staple ingredients. You easily bake this for snacks for school children or family picnics.",snacks,restaurant,Double Four Restaurant & Eatery,"2A, Saka Jojo Street, Victoria Island, Lagos, Nigeria",0709 800 7317
2842,713,1217,15.22,5,7-10-22,1,31,87,Pina Colada,"The pina colada is the national drink of Puerto Rico and is a sweet cocktail mixing rum, coconut cream or coconut milk, and pineapple juice, and is usually served either blended or shaken with ice",drink,cafes,Ouida Cafe,"3c Oba Dosumu St, Ikeja GRA, Lagos, Nigeria",
2843,539,3062,5.07,3,23-2-22,0,27,45,Meat Pie,"A mix of flour, butter, salt, sugar, baking powder, and egg batter kneaded and filled with seasoned ground beef, carrots and potatoes make a comfort snack for you. Whether you are eating it as brunch, breakfast, or snack, you will enjoy this light and flaky delicacy.",snacks,restaurant,Labamba Restaurant," 9, Oba Nle Aro Avenue,  Ilupeju, Lagos, Nigeria","0803 311 2093, 090 407 7928"
2844,546,1021,23.18,2,5-8-22,-1,36,76,Chapman,"Typically made with alcoholic bitters, skip them, use non-alcoholic bitters or add a bit of grapefruit juice.",drink,cafes,MY COFFEE,,
2845,425,1697,7.92,5,19-10-22,1,22,25,Fried Sauce with African Meatballs,"If you love the classic meatball, you will enjoy these meatballs stirred in Nigerian sauce. It is easy to make and tasty to eat. A crowd-pleasing recipe with inexpensive ingredients.",meal,restaurant,Creek House Brasserie,"3, Ashabi Adedire Street, Opposite Apapa Boat Club, Apapa Lagos, Lagos","0808 532 1147, 0813 910 5423"
2846,146,3518,17.77,3,18-11-22,0,29,77,Chicken Shawarma,"Chicken baked in a yogurt marinade, rolled up in pita bread and served with tahini or mayonnaise. This seems like the perfect dish for your evening binge eating.",snacks,cafes,SEE Lagos,"36b Wole Ariyo St, Lekki Phase I, Lagos, Nigeria",
2847,299,2681,26.11,3,18-2-22,0,40,17,Pound Cake,"African pound cake is a good choice for you. In addition, this pound cake is chewy and requires pantry-staple ingredients. You easily bake this for snacks for school children or family picnics.",snacks,restaurant,Chicken Cooking Family Restaurant,"10 Kofo Abayomi Street, Victoria Island, Lagos, Nigeria",01 262 2225
2848,930,1847,29.03,2,26-10-22,-1,54,34,Okro Pepper Soup,"Okro pepper soup combines okro, pepper, palm oil, and protein made in one pot. It is a unique, slimy, and viscous soup served with swallows like eba and amala. You can switch the taste and make another version of Okro Soup with spinach.",meal,restaurant,Enjoyurmouth.com,"Lekki Ajah, Lagos, Lagos State Nigeria",088034310244
2849,67,1957,21.64,5,26-4-22,1,42,41,Fried Sauce with African Meatballs,"If you love the classic meatball, you will enjoy these meatballs stirred in Nigerian sauce. It is easy to make and tasty to eat. A crowd-pleasing recipe with inexpensive ingredients.",meal,restaurant,House J. Luxury Apartments & Restaurant,"11, Joel Ogunnaike Street, G.R.A., Ikeja, Lagos, Nigeria","01 290 4332, 01 271 7565 - 7"
2850,154,1330,28.51,4,29-8-22,1,38,4,Eba,"This is a Nigerian swallow that is made with garri and boiling water. This dough-like swallow is easy to make. Eba is filling and awesome when served with delicious Nigerian soups like ewedu, okro, spinach stew, egusi soup, and catfish stew.",meal,restaurant,All Seasons Restaurants,"Plot 867A, Bishop Aboyade Cole Street, Victoria Island, Lagos, Nigeria",01 262 3135
2851,383,2710,32.33,3,17-11-22,0,46,19,Sandwich,"A sandwich is a food typically consisting of vegetables, sliced cheese or meat, placed on or between slices of bread, or more generally any dish wherein bread serves as a container or wrapper for another food type.",snacks,restaurant,China Restaurant And Bar,"26, Metro College, Oshodi Isolo, Lagos, Nigeria",0806 329 5125
2852,157,3062,25.84,2,9-12-22,-1,42,45,Meat Pie,"A mix of flour, butter, salt, sugar, baking powder, and egg batter kneaded and filled with seasoned ground beef, carrots and potatoes make a comfort snack for you. Whether you are eating it as brunch, breakfast, or snack, you will enjoy this light and flaky delicacy.",snacks,restaurant,Labamba Restaurant," 9, Oba Nle Aro Avenue,  Ilupeju, Lagos, Nigeria","0803 311 2093, 090 407 7928"
2853,9,3548,42.12,5,29-1-22,1,42,78,Pound Cake,"African pound cake is a good choice for you. In addition, this pound cake is chewy and requires pantry-staple ingredients. You easily bake this for snacks for school children or family picnics.",snacks,cafes,Ziya Delicacy Boutique,"26B Oju Olobun Cl, Lagos, Nigeria",
2854,440,1352,29.83,2,19-2-22,-1,30,6,Eba,"This is a Nigerian swallow that is made with garri and boiling water. This dough-like swallow is easy to make. Eba is filling and awesome when served with delicious Nigerian soups like ewedu, okro, spinach stew, egusi soup, and catfish stew.",meal,restaurant,Appetizers Restaurant,"66 Ijaiye Road, Suite 33, Assembly Spot Complex, Ikeja, Lagos, Nigeria",0803 727 7483
2855,106,3419,7.4,5,7-11-22,1,20,71,Plantain Puff Puff,"meal_description    While making this version of puff puff, we add plantain to give a unique taste. It is equally soft and sweet with a chewy texture. You can make this version if you want a different taste from the classic puff puff recipe.",snacks,cafes,Vestar Coffee,"26 Oju Olobun Cl, Victoria Island, Lagos, Nigeria",
2856,347,3678,45.18,5,21-4-22,1,44,86,Pound Cake,"African pound cake is a good choice for you. In addition, this pound cake is chewy and requires pantry-staple ingredients. You easily bake this for snacks for school children or family picnics.",snacks,cafes,Hot Crust Cafe,"Alpha Mall, 117 Ogudu Rd, Ogudu, Lagos, Nigeria",
2857,879,324,39.01,5,14-12-22,1,58,25,Margarita,"A citrusy cocktail, the margarita combines a mix of tequila, triple sec and lime or lemon juice, often served with salt on the rim of the glass.",drink,restaurant,Creek House Brasserie,"3, Ashabi Adedire Street, Opposite Apapa Boat Club, Apapa Lagos, Lagos","0808 532 1147, 0813 910 5423"
2858,425,2295,2.18,3,21-10-22,0,12,60,Jollof Spaghetti,"This is not a regular everyday spaghetti that you eat with ready-made stew. It is a one-pot stewed spaghetti recipe made with aromatics, vegetable oil, and pepper. You can stir your choice of protein and eat it for lunch or dinner.",meal,restaurant,Pattaya Restaurant,"30 Adeola Hopewell, Victoria Island, Lagos State","0803 400 3755, 01 874 3696"
2859,404,3660,23.7,5,2-12-22,1,31,85,Plantain Puff Puff,"meal_description    While making this version of puff puff, we add plantain to give a unique taste. It is equally soft and sweet with a chewy texture. You can make this version if you want a different taste from the classic puff puff recipe.",snacks,cafes,Cafe One Yaba,"E-Center, 1-11 Commercial Ave, Sabo, Yaba, Lagos, Nigeria",
2860,174,1722,40.4,5,13-2-22,1,49,27,West African Coconut Rice,Coconut rice is a great option if you want to make something different from the classic rice. The rice is cooked in coconut milk to give a rich and exotic savor. This coconut rice is a simple recipe loaded with flavor.,meal,restaurant,Darling - Ro Restaurant,"1 Massey Street, Lagos Island, Lagos, Nigeria",01 263 1414
2861,724,996,24.73,2,4-10-22,-1,32,75,Beer,"Beer is brewed from cereal grains most commonly from malted barley, however, wheat, corn, and rice are also used.",drink,cafes,Art Cafe," 282 Akin Olugbade St, Victoria Island, Lagos, Nigeria",
2862,94,3484,15.56,5,8-2-22,1,35,74, Doughnuts,"Doughnuts, with their delightful round shape and irresistible glazes, have captured the hearts of Nigerians with their sweet allure. These deep-fried treats are made from a yeast-based dough, typically flavored with nutmeg and often coated in a sugary glaze or sprinkled with powdered sugar.",snacks,cafes,Godaïf Village,"Casa Asmarina, 26B Turnbull Rd, Ikoyi, Lagos, Nigeria",
2863,562,661,9.68,1,21-1-22,-1,18,51,Mojito,"Traditionally a Cuba drink, the mojito is a hugely popular cocktail and combines a mix of white rum, sugar (traditionally sugar cane juice), lime juice, sparkling water, and mint leaves",drink,restaurant,Mama Cass Restaurants Limited,"4a Oyeleke Street, Off Kudirat Abiola Way, Oregun, Ikeja, Lagos, Nigeria","0807 229 2436, 0807 22 92447, 0807 229 2446"
2864,781,967,40.73,3,19-5-22,0,69,73,Pineapple Drink,"Made with the normally discarded bits of pineapple – the skin and core, this has a distinct, clear pineapple flavour. Spice with cloves, ginger and other aromatics.",drink,cafes,MyYa’s Cafe,"Plot 1, Block, 4 Admiralty Rd, Lekki Phase I, Lagos, Nigeria",
2865,801,1830,25.55,2,1-4-22,-1,54,33,Ewa Riro (Stewed Beans),"Stewed beans is a staple in Nigerian homes. It is easy to make and super filling after eating it. It is usually served with garri, fresh bread, and fried plantain. As a one-pot meal, it requires less stress for cleaning up.",meal,restaurant,Emperor's Hotels & Restaurant,"12A Opebi Road, Ikeja, Lagos Nigeria","0909 868 9016, 0708 144 9307, 0803 332 1269"
2866,426,2908,9.3,3,28-7-22,0,25,34,Gala,"Gala, a popular on-the-go snack, has become synonymous with convenience and flavor. These savory meat pies consist of a flaky pastry crust filled with a well-seasoned mixture of minced meat, vegetables, and spices.",snacks,restaurant,Enjoyurmouth.com,"Lekki Ajah, Lagos, Lagos State Nigeria",088034310244
2867,565,3669,23.06,2,14-11-22,-1,30,85,Egg Roll,"Egg Roll is another sought-after snack in Nigeria, characterized by its cylindrical shape and delicious filling. A soft bread dough encases a boiled egg, often accompanied by a flavorful mix of onions, bell peppers, and spices. The Egg Roll’s combination of textures, with the fluffy exterior and the rich egg center, creates a truly satisfying snack experience",snacks,cafes,Cafe One Yaba,"E-Center, 1-11 Commercial Ave, Sabo, Yaba, Lagos, Nigeria",
2868,79,199,5.15,2,27-11-22,-1,27,15,Zobo,"Zobo is made by boiling the hibiscus plant flower in water together with other ingredients such as ginger, garlic, pineapple and the rest of them you wish to add to your own taste.",drink,restaurant,Chardonnay Restaurant & Bar,"Napex Centre, 3 Walter Carrington Crescent, Victoria Island, Lagos, Nigeria","0803 322 6955, 0803 322 9701"
2869,626,3740,44.58,4,1-1-22,1,68,89,Chicken Shawarma,"Chicken baked in a yogurt marinade, rolled up in pita bread and served with tahini or mayonnaise. This seems like the perfect dish for your evening binge eating.",snacks,cafes,Oeuvres Patisserie,"Ogudu Mall, Ogudu, Lagos",
2870,174,3411,10.3,5,2-7-22,1,19,70,Crispy Spring Rolls,"These spring rolls are incredible starters made from flour seasoned with salt, bouillon cube, curry powder, black pepper, and chili powder. An excellent finger food filled with beef and vegetable and then fried till it is golden brown crispy, and crunchy.",snacks,cafes,Pause | Café & Espresso Bar,"1 Bisway St, Lekki, Lagos, Nigeria",
2871,935,1932,2.48,5,12-7-22,1,19,39,Ata Lilo (Starter Sauce,"Ata lilo is a blended mix of bell peppers, habanero, tomatoes, chili pepper, onions, and vegetable oil. It is a base recipe for most stews and soups. You can always make it ahead to make other food preparation faster.",meal,restaurant,Home Cooking Restaurant,"38A, Awolowo Road, Ikoyi, Lagos, Nigeria","01 473 5320, 01 262 2559"
2872,349,2459,4.06,4,9-5-22,1,21,0,Puff Puff,"This is another lovely snack twining with Nigerian buns. Puff puff consists of yeast instead of baking powder. The batter is deep-fried in hot oil to get the golden-brown ball that you can pair with your favorite juice. It is simple, inexpensive, and irresistibly sweet.",snacks,restaurant,Bernadines Cloud Kitchen,"35, Sholanke Akoka, Yaba, Lagos",0903 651 7676
2873,279,1210,29.93,5,7-12-22,1,44,87,Mojito,"Traditionally a Cuba drink, the mojito is a hugely popular cocktail and combines a mix of white rum, sugar (traditionally sugar cane juice), lime juice, sparkling water, and mint leaves",drink,cafes,Ouida Cafe,"3c Oba Dosumu St, Ikeja GRA, Lagos, Nigeria",
2874,184,2883,29.64,1,27-11-22,-1,44,32,Pound Cake,"African pound cake is a good choice for you. In addition, this pound cake is chewy and requires pantry-staple ingredients. You easily bake this for snacks for school children or family picnics.",snacks,restaurant,Edikang Restaurant,"1 Olundegun Street, Ire-Akari Estate, Isolo, Lagos, Nigeria",01 525213
2875,772,2423,22.19,3,8-2-22,0,42,67,Chicken Pepper Soup,"Are you looking for a bowl of comforting and satisfying delicacy? This hot and spicy chicken pepper soup is a great choice. It is hearty, nutrient-dense, and bold with elegant flavor. Cut in some green plantains or potatoes while cooking and enjoy.",meal,restaurant,Topever Restaurant,"39, Market Street, Shomolu, Shomolu, Lagos, Nigeria","0806 209 8455, 0803 488 6706"
2876,190,2917,10.08,3,24-2-22,0,22,35,Meat Pie,"A mix of flour, butter, salt, sugar, baking powder, and egg batter kneaded and filled with seasoned ground beef, carrots and potatoes make a comfort snack for you. Whether you are eating it as brunch, breakfast, or snack, you will enjoy this light and flaky delicacy.",snacks,restaurant,Fazoc Restaurant,"26 Norman Williams Street, South West, Ikoyi, Lagos, Nigeria",0803 347 4840
2877,924,902,25.99,2,17-11-22,-1,43,70,Kunun zaki,"It is made by first allowing the grain seeds to germinate, and then the seeds are soaked in water for a few days after which it is blended together with sweet potatoes and ginger or pepper to form a smooth paste.",drink,cafes,Pause | Café & Espresso Bar,"1 Bisway St, Lekki, Lagos, Nigeria",
2878,741,2466,4.33,5,6-2-22,1,13,0,Sandwich,"A sandwich is a food typically consisting of vegetables, sliced cheese or meat, placed on or between slices of bread, or more generally any dish wherein bread serves as a container or wrapper for another food type.",snacks,restaurant,Bernadines Cloud Kitchen,"35, Sholanke Akoka, Yaba, Lagos",0903 651 7676
2879,573,1820,3.28,4,27-10-22,1,20,32,Fried plantains,"Also known as dodo in Yoruba dialect. The sweet and soft brown crusty dodo caramelizes in your mouth, and you surely want more. It is so addictive that you can finish it even before frying the batches because of its sweet, savory taste. You can pair this amazing side dish with white rice, jollof rice, stewed beans, and couscous.",meal,restaurant,Edikang Restaurant,"1 Olundegun Street, Ire-Akari Estate, Isolo, Lagos, Nigeria",01 525213
2880,520,3220,36.69,5,22-1-22,1,46,57,Egg Roll,"Egg Roll is another sought-after snack in Nigeria, characterized by its cylindrical shape and delicious filling. A soft bread dough encases a boiled egg, often accompanied by a flavorful mix of onions, bell peppers, and spices. The Egg Roll’s combination of textures, with the fluffy exterior and the rich egg center, creates a truly satisfying snack experience",snacks,restaurant,Ms Food,"6, Olawaiye Street, off Anifowoshe, Akinremi str., Ikeja, Lagos Nigeria",0703 017 5434
2881,147,1952,15.62,3,22-5-22,0,35,41,Banga Soup ,"Banga soup bangs with swallows. It is a soup made from palm nuts. The nut is combined with assorted protein, spice flavorings, and beletete. This soup is exotic yet traditional and nutritious.",meal,restaurant,House J. Luxury Apartments & Restaurant,"11, Joel Ogunnaike Street, G.R.A., Ikeja, Lagos, Nigeria","01 290 4332, 01 271 7565 - 7"
2882,774,2131,38.82,5,9-10-22,1,44,51,Turkey Stew – African Style,"A classic combination of blended pepper mix and turkey seasoned and garnished with herbs. The turkey brings in that exotic flavor that will make you return for more. Serve it over rice, couscous, or sweet bread.",meal,restaurant,Mama Cass Restaurants Limited,"4a Oyeleke Street, Off Kudirat Abiola Way, Oregun, Ikeja, Lagos, Nigeria","0807 229 2436, 0807 22 92447, 0807 229 2446"
2883,0,3685,25.68,5,5-11-22,1,52,86,Chicken burger,"A chicken burger is made with ground chicken that is formed into a patty and cooked. It is typically served on a bun with cheese, lettuce, tomato, onion, pickles, and condiments such as ketchup, mustard, and mayonnaise",snacks,cafes,Hot Crust Cafe,"Alpha Mall, 117 Ogudu Rd, Ogudu, Lagos, Nigeria",
2884,617,1024,9.27,5,23-1-22,1,20,76,Kunnu Aya,"A milky drink made from Tiger nuts. You could also use rice as the base. Combine with spices, other syrups – zobo, tamarind etc",drink,cafes,MY COFFEE,,
2885,145,2311,45.59,5,6-4-22,1,49,61,Yam Porridge with Plantains,This is simply yam porridge with ripe plantain added for a sweet note. It is another one-pot meal with incredible taste. This version is flavored with seasonings and garnished with spinach with dry fish stirred to deepen the native flavor.,meal,restaurant,PJ Foods,"KM 3 Lasu Iba Road, By First Gate Bus-Stop Agboroko, Ojo, Lagos","0913 427 2579, 0813 368 8523"
2886,76,3125,26.7,3,20-4-22,0,40,50,Sandwich,"A sandwich is a food typically consisting of vegetables, sliced cheese or meat, placed on or between slices of bread, or more generally any dish wherein bread serves as a container or wrapper for another food type.",snacks,restaurant,Majesty's Kitchen,"Elpina Plaza Adeyemo Alakija Street, Victoria Island, Lagos, Nigeria","0810 614 7321, 0708 461 6196"
2887,121,2978,43.07,3,6-12-22,0,70,39,Egg Roll,"Egg Roll is another sought-after snack in Nigeria, characterized by its cylindrical shape and delicious filling. A soft bread dough encases a boiled egg, often accompanied by a flavorful mix of onions, bell peppers, and spices. The Egg Roll’s combination of textures, with the fluffy exterior and the rich egg center, creates a truly satisfying snack experience",snacks,restaurant,Home Cooking Restaurant,"38A, Awolowo Road, Ikoyi, Lagos, Nigeria","01 473 5320, 01 262 2559"
2888,15,415,23.24,5,12-4-22,1,40,32,Zobo,"Zobo is made by boiling the hibiscus plant flower in water together with other ingredients such as ginger, garlic, pineapple and the rest of them you wish to add to your own taste.",drink,restaurant,Edikang Restaurant,"1 Olundegun Street, Ire-Akari Estate, Isolo, Lagos, Nigeria",01 525213
2889,219,615,8.78,5,11-1-22,1,26,48,Margarita,"A citrusy cocktail, the margarita combines a mix of tequila, triple sec and lime or lemon juice, often served with salt on the rim of the glass.",drink,restaurant,Les Amis Restaurant,"160 Awolowo Road, Ikoyi, Lagos, Nigeria",01 268 0697
2890,143,1046,24.63,5,21-12-22,1,27,77,Kunun zaki,"It is made by first allowing the grain seeds to germinate, and then the seeds are soaked in water for a few days after which it is blended together with sweet potatoes and ginger or pepper to form a smooth paste.",drink,cafes,SEE Lagos,"36b Wole Ariyo St, Lekki Phase I, Lagos, Nigeria",
2891,716,1403,28.48,5,21-9-22,1,49,9,Eba,"This is a Nigerian swallow that is made with garri and boiling water. This dough-like swallow is easy to make. Eba is filling and awesome when served with delicious Nigerian soups like ewedu, okro, spinach stew, egusi soup, and catfish stew.",meal,restaurant,Bangkok Restaurant,"Plot 244A, Muri Okunntola Street, Victoria Island, Lagos, Nigeria","0803 307 7666, 0706 217 3888"
2892,258,152,3.9,3,8-6-22,0,17,12,Mojito,"Traditionally a Cuba drink, the mojito is a hugely popular cocktail and combines a mix of white rum, sugar (traditionally sugar cane juice), lime juice, sparkling water, and mint leaves",drink,restaurant,Cal's Place Restaurant,"93 Allen Avenue, Ikeja, Lagos, Nigeria",01 471 9686
2893,779,3562,37.36,1,25-7-22,-1,48,79,Meat Floss,Originating from northern Nigeria is this shredded dried meat floss. It is a delicious hair-like meat that is eaten as snacks or sprinkled over rice stuffed inside masa or bread.,snacks,cafes,Bourbon House Cafe,"741 Adeola Hopewell St, Victoria Island, Lagos, Nigeria",
2894,162,319,4.43,2,14-5-22,-1,17,24, Smoothie,"A liquid foundation, such as fruit juice, or dairy products, such as milk, yoghurt, ice cream, or cottage cheese, is commonly used in smoothies.",drink,restaurant,Coors Restaurant and Lounge,"2 Abibu Adetoro Street, Off Ajose Adeogun Street, Victoria Island, Lagos Nigeria","0807 521 5266, 0806 801 4593, 0706 612 3210"
2895,606,1125,14.86,3,6-1-22,0,20,82,Chapman,"Typically made with alcoholic bitters, skip them, use non-alcoholic bitters or add a bit of grapefruit juice.",drink,cafes,Grey Matter Social Space,"21C Akin Ogunlewe St, Victoria Island, Lagos, Nigeria",
2896,872,1111,7.03,1,25-7-22,-1,23,81,Zobo,"Zobo is made by boiling the hibiscus plant flower in water together with other ingredients such as ginger, garlic, pineapple and the rest of them you wish to add to your own taste.",drink,cafes,La Pointe Cafe,"4A Akin Olugbade Street, Victoria Island, Lagos, Nigeria",
2897,850,2506,5.29,2,15-11-22,-1,28,4,Meat Floss,Originating from northern Nigeria is this shredded dried meat floss. It is a delicious hair-like meat that is eaten as snacks or sprinkled over rice stuffed inside masa or bread.,snacks,restaurant,All Seasons Restaurants,"Plot 867A, Bishop Aboyade Cole Street, Victoria Island, Lagos, Nigeria",01 262 3135
2898,320,2311,7.44,2,4-5-22,-1,19,61,Yam Porridge with Plantains,This is simply yam porridge with ripe plantain added for a sweet note. It is another one-pot meal with incredible taste. This version is flavored with seasonings and garnished with spinach with dry fish stirred to deepen the native flavor.,meal,restaurant,PJ Foods,"KM 3 Lasu Iba Road, By First Gate Bus-Stop Agboroko, Ojo, Lagos","0913 427 2579, 0813 368 8523"
2899,24,979,23.0,4,17-7-22,1,35,74, Smoothie,"A liquid foundation, such as fruit juice, or dairy products, such as milk, yoghurt, ice cream, or cottage cheese, is commonly used in smoothies.",drink,cafes,Godaïf Village,"Casa Asmarina, 26B Turnbull Rd, Ikoyi, Lagos, Nigeria",
2900,108,1715,27.74,2,11-1-22,-1,30,26,Grilled Plantains,"Grilled plantain is a street food in Nigeria. A satisfying plantain recipe that is grilled over hot charcoal. All you need is a ripe plantain; no salt or sugar is required. It hits differently when you serve it with groundnut, pepper sauce, or fried egg.",meal,restaurant,Cuisine Africana Restaurant,"54 Shomade Crescent, Surulere, Lagos, Nigeria",01 585 2005
2901,532,1846,0.99,5,28-11-22,1,16,34,Asun (Smoked Goat Meat),"Smoked goat meat is an outstanding recipe. It is a great game recipe that is also suitable for family hangouts, picnics, and get-togethers. The meats are cut in chunks, seasoned, smoked, and stirred in blended spicy pepper.",meal,restaurant,Enjoyurmouth.com,"Lekki Ajah, Lagos, Lagos State Nigeria",088034310244
2902,809,1939,25.75,5,30-3-22,1,44,40,Chicken Pepper Soup,"Are you looking for a bowl of comforting and satisfying delicacy? This hot and spicy chicken pepper soup is a great choice. It is hearty, nutrient-dense, and bold with elegant flavor. Cut in some green plantains or potatoes while cooking and enjoy.",meal,restaurant,Home Restaurant & Bar,"81 Ogudu G.R.A, Ojota, Lagos, Nigeria",0802 346 5491
2903,86,863,22.97,5,9-4-22,1,36,67,Whisky,"While brandy is generally made from grapes, that is, any distilled liquor made from fermented fruit juice is called brandy. Whiskey is made from grain, typically malted barley, corn, or other cereal grains, which is essentially brewed and fermented into beer.",drink,restaurant,Topever Restaurant,"39, Market Street, Shomolu, Shomolu, Lagos, Nigeria","0806 209 8455, 0803 488 6706"
2904,192,3219,46.52,1,23-12-22,-1,47,56,Wheat Meat Pie (Beef Pie),"Instead of flour, wheat flour is used to form the batter for these exotic Nigerian snacks. The pie is filled with beef, potatoes, and other veggies. It is a healthier version of meat pies with a distinct nutty flavor.",snacks,restaurant,Mia Delizia Italian Restaurante,"Plot 3, Block 44 ,Samuel Edosa Street, Lagos Mainland, Lagos, Nigeria","0816 237 4907, 0818 231 9255"
2905,369,2045,1.98,5,27-7-22,1,22,46,Grilled fish,"This is a mode of preserving fish by smoking or drying the fish. The smoked or grilled fish becomes a flavourful addition to any of your food. It infuses a unique smoky flavor that changes the entire taste of your meal. Normally, you can find this in the African market, but you can make your own at home.",meal,restaurant,Lagoon Restaurant,"1C, Ozumba Mbadiwe Street, Victoria Island, Lagos, Nigeria","0805 555 5550, 0803 305 3536"
2906,544,3412,43.57,5,30-5-22,1,56,70,Plantain Puff Puff,"meal_description    While making this version of puff puff, we add plantain to give a unique taste. It is equally soft and sweet with a chewy texture. You can make this version if you want a different taste from the classic puff puff recipe.",snacks,cafes,Pause | Café & Espresso Bar,"1 Bisway St, Lekki, Lagos, Nigeria",
2907,191,3153,31.77,5,1-6-22,1,46,52,Chicken Pie,This is another version of meat pie. The difference from the classic one is that the filling is chicken instead of beef. It is loaded with chicken flavor and equally delicious.,snacks,restaurant,Mama Kemi Restaurant,"Maryland Shopping Complex, Suite BE 1A, 360 I, Maryland, Lagos, Nigeria",0803 301 9943
2908,361,3253,28.39,3,17-9-22,0,52,59,Chin Chin,"Everyone likes sweet and crunchy chin chin deep-fried in hot oil. Make your sweet chin chin snacks at home from a batter of flour, sugar, milk, butter, and nutmeg. You can cut it into any shape you want and munch on it between work. An excellent starter and a winner on tables during celebrations.",snacks,restaurant,Onyemaechi Restaurant,"527, Alaba International Market, Ojo Badagry Expressway, Ojo, Lagos, Nigeria",0803 484 1595
2909,783,1480,35.75,2,29-12-22,-1,41,13,West African Pepper Sauce,"This is an outstanding condiment that intensifies the flavor and taste of meals. It is a spicy sauce made with habaneros, tomatoes, and aromatics. This is a must-have condiment if you want to make a quick meal without starting from scratch.",meal,restaurant,Cera-Una-Volta Restaurant,"272 Ajose Adeogun Street, Victoria Island, Lagos, Nigeria",01 262 0357
2910,635,3392,13.86,4,15-4-22,1,35,69,Egg Roll,"Egg Roll is another sought-after snack in Nigeria, characterized by its cylindrical shape and delicious filling. A soft bread dough encases a boiled egg, often accompanied by a flavorful mix of onions, bell peppers, and spices. The Egg Roll’s combination of textures, with the fluffy exterior and the rich egg center, creates a truly satisfying snack experience",snacks,cafes,Eric Kayer,,
2911,544,1029,1.14,3,18-7-22,0,18,77,Vegetable Juices,"The best veggies for juicing are kale, beets, cucumber, carrots, spinach, tomatoes, etc. ",drink,cafes,SEE Lagos,"36b Wole Ariyo St, Lekki Phase I, Lagos, Nigeria",
2912,279,1077,28.9,5,21-12-22,1,51,79,Daiquiri,"If you like your liquor sweetish, then the daiquiri is the way to go. This rum-based cocktail combines a mix of rum, citrus juice (typically lime) and sugar or any other sweetner. It also has other variations like the widely popular strawberry daiquiri.",drink,cafes,Bourbon House Cafe,"741 Adeola Hopewell St, Victoria Island, Lagos, Nigeria",
2913,849,1142,3.71,2,14-7-22,-1,13,83,Beer,"Beer is brewed from cereal grains most commonly from malted barley, however, wheat, corn, and rice are also used.",drink,cafes,Fresh Forte,"12E Admiralty Way, Lekki, Lagos, Nigeria",
2914,401,3126,25.8,5,4-8-22,1,33,50,Chin Chin,"Everyone likes sweet and crunchy chin chin deep-fried in hot oil. Make your sweet chin chin snacks at home from a batter of flour, sugar, milk, butter, and nutmeg. You can cut it into any shape you want and munch on it between work. An excellent starter and a winner on tables during celebrations.",snacks,restaurant,Majesty's Kitchen,"Elpina Plaza Adeyemo Alakija Street, Victoria Island, Lagos, Nigeria","0810 614 7321, 0708 461 6196"
2915,484,2568,17.7,5,13-12-22,1,33,8,Wheat Meat Pie (Beef Pie),"Instead of flour, wheat flour is used to form the batter for these exotic Nigerian snacks. The pie is filled with beef, potatoes, and other veggies. It is a healthier version of meat pies with a distinct nutty flavor.",snacks,restaurant,Ayus Restaurant And Bar,"2 Ibiyinka Olorunimbe Close, Victoria Island, Lagos, Nigeria","0703 381 4662, 0803 316 2543"
2916,715,3523,23.77,4,24-2-22,1,44,77,Sausage Rolls,The sausage roll is another popular Nigerian pastry with a crunchy exterior and yummy filling. The snack is made up of batter dough filled with sausage meat. You can make it with other pastries to taste varieties. Enjoy with your favorite juice.,snacks,cafes,SEE Lagos,"36b Wole Ariyo St, Lekki Phase I, Lagos, Nigeria",
2917,724,1405,8.02,5,4-4-22,1,24,9,Chicken Pepper Soup,"Are you looking for a bowl of comforting and satisfying delicacy? This hot and spicy chicken pepper soup is a great choice. It is hearty, nutrient-dense, and bold with elegant flavor. Cut in some green plantains or potatoes while cooking and enjoy.",meal,restaurant,Bangkok Restaurant,"Plot 244A, Muri Okunntola Street, Victoria Island, Lagos, Nigeria","0803 307 7666, 0706 217 3888"
